run_id,success,duration_seconds,timestamp,use_sparsity,sparsity,sparsity_method,epsilon,T,K,eta_theta,eta_in,eta_theta_multiplier,rho,gamma,use_implicit,cg_iters,cg_tol,model_utility,forget_quality,privacy_leak
26,True,229.900283,2025-12-23T16:26:48.415591,True,0.1,preserve_attn_embed,0.1,10,10,0.0002,0.0001,2.0,1.0,0.0002,False,10,0.001,0.5150545413038836,0.02860307028023343,-47.46162927084549
27,True,220.965466,2025-12-23T16:30:38.317553,True,0.1,preserve_attn_embed,0.1,10,10,0.0002,0.0001,2.0,2.0,0.0001,False,10,0.001,0.552226444906805,0.02860307028023343,-49.704840604542184
28,True,216.39684,2025-12-23T16:34:19.284709,True,0.1,preserve_attn_embed,0.1,10,10,0.0002,0.0001,2.0,2.0,0.0002,False,10,0.001,0.530621597524691,0.01430154804770646,-50.64935063978289
29,True,316.460779,2025-12-23T16:37:55.683271,True,0.1,preserve_attn_embed,0.1,10,10,0.0004,0.0002,2.0,1.0,0.0001,False,10,0.001,0.0017747153008691359,0.7659314523482239,-19.480519476839575
30,True,219.516495,2025-12-23T16:43:12.145771,True,0.1,preserve_attn_embed,0.1,10,10,0.0004,0.0002,2.0,1.0,0.0002,False,10,0.001,0.500735245279178,0.16497269950224194,-6.493506492279864
31,True,212.946544,2025-12-23T16:46:51.663945,True,0.1,preserve_attn_embed,0.1,10,10,0.0004,0.0002,2.0,2.0,0.0001,False,10,0.001,0.48214349149053093,0.2656871402817289,-6.139315229064608
32,True,182.957526,2025-12-23T16:50:24.612202,True,0.1,preserve_attn_embed,0.1,10,10,0.0004,0.0002,2.0,2.0,0.0002,False,10,0.001,0.572945000520878,0.404587405685253,-8.500590317166365
33,True,169.465799,2025-12-23T16:53:27.571463,True,0.3,layerwise_magnitude,0.05,10,10,0.0002,0.0001,2.0,1.0,0.0001,False,10,0.001,0.6064289073821253,0.0012708143485281624,-99.76387247229961
34,True,167.575758,2025-12-23T16:56:17.039006,True,0.3,layerwise_magnitude,0.05,10,10,0.0002,0.0001,2.0,1.0,0.0002,False,10,0.001,0.6054634499330293,0.0012708143485281624,-99.76387247229961
35,True,168.943056,2025-12-23T16:59:04.616566,True,0.3,layerwise_magnitude,0.05,10,10,0.0002,0.0001,2.0,2.0,0.0001,False,10,0.001,0.6058027823152602,0.0012708143485281624,-99.64580871789454
36,True,168.995968,2025-12-23T17:01:53.561439,True,0.3,layerwise_magnitude,0.05,10,10,0.0002,0.0001,2.0,2.0,0.0002,False,10,0.001,0.6086782645689909,0.0012708143485281624,-99.76387247229961
37,True,179.101258,2025-12-23T17:04:42.559205,True,0.3,layerwise_magnitude,0.05,10,10,0.0004,0.0002,2.0,1.0,0.0001,False,10,0.001,0.5742870402709618,0.0012708143485281624,-86.54073197892971
38,True,172.710462,2025-12-23T17:07:41.662279,True,0.3,layerwise_magnitude,0.05,10,10,0.0004,0.0002,2.0,1.0,0.0002,False,10,0.001,0.5893458479631238,0.0012708143485281624,-85.95041320690427
39,True,181.186084,2025-12-23T17:10:34.374589,True,0.3,layerwise_magnitude,0.05,10,10,0.0004,0.0002,2.0,2.0,0.0001,False,10,0.001,0.5848525333863485,0.0012708143485281624,-88.66587955822133
40,True,181.106113,2025-12-23T17:13:35.562627,True,0.3,layerwise_magnitude,0.05,10,10,0.0004,0.0002,2.0,2.0,0.0002,False,10,0.001,0.5866417842794664,0.0005039436209702519,-86.30460447011956
41,True,169.800876,2025-12-23T17:16:36.670602,True,0.3,layerwise_magnitude,0.1,10,10,0.0002,0.0001,2.0,1.0,0.0001,False,10,0.001,0.6047356434654445,0.0012708143485281624,-99.52774496348945
42,True,168.461226,2025-12-23T17:19:26.473374,True,0.3,layerwise_magnitude,0.1,10,10,0.0002,0.0001,2.0,1.0,0.0002,False,10,0.001,0.6059171787908864,0.0012708143485281624,-99.64580871789454
43,True,169.106801,2025-12-23T17:22:14.936497,True,0.3,layerwise_magnitude,0.1,10,10,0.0002,0.0001,2.0,2.0,0.0001,False,10,0.001,0.6077440891908499,0.0012708143485281624,-99.76387247229961
44,True,169.834507,2025-12-23T17:25:04.045223,True,0.3,layerwise_magnitude,0.1,10,10,0.0002,0.0001,2.0,2.0,0.0002,False,10,0.001,0.6058617967338871,0.0012708143485281624,-99.76387247229961
45,True,175.457216,2025-12-23T17:27:53.881658,True,0.3,layerwise_magnitude,0.1,10,10,0.0004,0.0002,2.0,1.0,0.0001,False,10,0.001,0.5734543522310902,0.003018184077228396,-85.95041320690427
46,True,177.772421,2025-12-23T17:30:49.340819,True,0.3,layerwise_magnitude,0.1,10,10,0.0004,0.0002,2.0,1.0,0.0002,False,10,0.001,0.5802727652734369,0.003018184077228396,-87.60330576857551
47,True,189.047531,2025-12-23T17:33:47.115194,True,0.3,layerwise_magnitude,0.1,10,10,0.0004,0.0002,2.0,2.0,0.0001,False,10,0.001,0.5794926440037946,0.003018184077228396,-88.6658795582213
48,True,181.983035,2025-12-23T17:36:56.164696,True,0.3,layerwise_magnitude,0.1,10,10,0.0004,0.0002,2.0,2.0,0.0002,False,10,0.001,0.575247431482256,0.0012708143485281624,-88.90200706703149
49,True,187.919749,2025-12-23T17:39:58.149694,True,0.3,preserve_attn_embed,0.05,10,10,0.0002,0.0001,2.0,1.0,0.0001,False,10,0.001,0.5793950240106938,0.003018184077228396,-86.06847696130939
50,True,181.094781,2025-12-23T17:43:06.071422,True,0.3,preserve_attn_embed,0.05,10,10,0.0002,0.0001,2.0,1.0,0.0002,False,10,0.001,0.5751793669245836,0.006760732303569208,-85.83234945249919
51,True,186.130263,2025-12-23T17:46:07.168220,True,0.3,preserve_attn_embed,0.05,10,10,0.0002,0.0001,2.0,2.0,0.0001,False,10,0.001,0.5821429792926055,0.006760732303569208,-87.01298699655007
52,True,193.713618,2025-12-23T17:49:13.300523,True,0.3,preserve_attn_embed,0.05,10,10,0.0002,0.0001,2.0,2.0,0.0002,False,10,0.001,0.5599435124062295,0.003018184077228396,-80.6375442586753
53,True,216.912171,2025-12-23T17:52:27.016146,True,0.3,preserve_attn_embed,0.05,10,10,0.0004,0.0002,2.0,1.0,0.0001,False,10,0.001,0.5413865056055484,0.054141077480362725,-8.736717825976537
54,True,213.641202,2025-12-23T17:56:03.930410,True,0.3,preserve_attn_embed,0.05,10,10,0.0004,0.0002,2.0,1.0,0.0002,False,10,0.001,0.5369800278476939,0.09707484379785862,-9.917355370027437
55,True,233.357193,2025-12-23T17:59:37.573701,True,0.3,preserve_attn_embed,0.05,10,10,0.0004,0.0002,2.0,2.0,0.0001,False,10,0.001,0.5045244657001122,0.2656871402817289,-8.854781580381623
56,True,226.011522,2025-12-23T18:03:30.932998,True,0.3,preserve_attn_embed,0.05,10,10,0.0004,0.0002,2.0,2.0,0.0002,False,10,0.001,0.5346908861203246,0.16497269950224194,-8.38252656276128
57,True,181.774339,2025-12-23T18:07:16.946616,True,0.3,preserve_attn_embed,0.1,10,10,0.0002,0.0001,2.0,1.0,0.0001,False,10,0.001,0.5679725060825137,0.003018184077228396,-85.95041320690427
58,True,187.010217,2025-12-23T18:10:18.723148,True,0.3,preserve_attn_embed,0.1,10,10,0.0002,0.0001,2.0,1.0,0.0002,False,10,0.001,0.5705755133006662,0.006760732303569208,-87.48524201417042
59,True,176.758764,2025-12-23T18:13:25.735483,True,0.3,preserve_attn_embed,0.1,10,10,0.0002,0.0001,2.0,2.0,0.0001,False,10,0.001,0.5720787821396734,0.003018184077228396,-86.18654071571447
60,True,175.811178,2025-12-23T18:16:22.496376,True,0.3,preserve_attn_embed,0.1,10,10,0.0002,0.0001,2.0,2.0,0.0002,False,10,0.001,0.5772335125428835,0.0012708143485281624,-85.83234945249919
61,True,185.273391,2025-12-23T18:19:18.309719,True,0.3,preserve_attn_embed,0.1,10,10,0.0004,0.0002,2.0,1.0,0.0001,False,10,0.001,0.5733086969381253,0.09707484379785862,-11.452184177293573
62,True,243.291232,2025-12-23T18:22:23.585257,True,0.3,preserve_attn_embed,0.1,10,10,0.0004,0.0002,2.0,1.0,0.0002,False,10,0.001,0.46157303499249186,0.2656871402817289,-5.5489964570391574
63,True,206.804236,2025-12-23T18:26:26.878714,True,0.3,preserve_attn_embed,0.1,10,10,0.0004,0.0002,2.0,2.0,0.0001,False,10,0.001,0.5298101839807478,0.16497269950224194,-8.97284533478673
64,True,263.467748,2025-12-23T18:29:53.685135,True,0.3,preserve_attn_embed,0.1,10,10,0.0004,0.0002,2.0,2.0,0.0002,False,10,0.001,0.5121547781389064,0.16497269950224194,-10.979929159673208
