model,split,method,seed,forget_leakage,forget_leakage_knowmem,forget_leakage_verbmem,retain_accuracy,response_quality,forget_rq,retain_rq,n_forget_knowmem,n_forget_verbmem,n_retain
Llama-2-7b-hf,News,PDU_sust_step1,42,1.2,1.52,0.88,1.24,1.633,1.605,1.69,100,100,100
Llama-2-7b-hf,News,PDU_sust_step2,42,0.735,1.34,0.13,1.19,1.233,1.015,1.67,100,100,100
Llama-2-7b-hf,News,PDU_sust_step3,42,0.725,1.41,0.04,0.58,0.85,0.96,0.63,100,100,100
Llama-2-7b-hf,News,PDU_sust_step4,42,0.65,1.28,0.02,0.12,0.667,0.935,0.13,100,100,100
Llama-2-7b-hf,News,PDU_scal_f4,42,0.525,0.99,0.06,0.02,0.587,0.87,0.02,100,100,100
Llama-2-7b-hf,News,PDU_scal_f1,42,0.88,1.45,0.31,1.2,1.293,1.09,1.7,100,100,100
Llama-2-7b-hf,News,PDU_scal_f2,42,0.75,1.28,0.22,1.08,1.26,1.08,1.62,100,100,100
Llama-2-7b-hf,News,PDU_scal_f3,42,0.74,1.39,0.09,1.22,1.247,1.01,1.72,100,100,100
