model,split,method,seed,forget_leakage,retain_accuracy,response_quality,forget_rq,retain_rq,n_forget,n_retain
Llama-3.2-1B-Instruct,forget05,SimNPO,789,1.565,1.694,1.988,1.985,1.989,200,617
Llama-3.2-1B-Instruct,forget05,SimNPO,1337,1.595,1.7,1.99,1.995,1.989,200,617
Llama-3.2-1B-Instruct,forget05,RMU,42,0.75,1.381,1.8,1.475,1.906,200,617
Llama-3.2-1B-Instruct,forget05,RMU,123,0.68,1.353,1.809,1.455,1.924,200,617
Llama-3.2-1B-Instruct,forget05,RMU,456,0.785,1.384,1.808,1.515,1.903,200,617
Llama-3.2-1B-Instruct,forget05,RMU,789,0.705,1.337,1.794,1.485,1.895,200,617
Llama-3.2-1B-Instruct,forget05,RMU,1337,0.675,1.36,1.819,1.5,1.922,200,617
Llama-3.2-1B-Instruct,forget05,BLURNPO,42,0.945,1.468,1.993,1.98,1.997,200,617
Llama-3.2-1B-Instruct,forget05,BLURNPO,123,0.855,1.348,1.942,1.825,1.981,200,617
Llama-3.2-1B-Instruct,forget05,BLURNPO,456,0.72,1.277,1.909,1.76,1.958,200,617
Llama-3.2-1B-Instruct,forget05,BLURNPO,789,0.88,1.36,1.949,1.855,1.979,200,617
Llama-3.2-1B-Instruct,forget05,BLURNPO,1337,0.89,1.399,1.983,1.95,1.994,200,617
Llama-3.2-1B-Instruct,forget05,PDU,42,0.385,1.577,1.623,0.58,1.961,200,617
Llama-3.2-1B-Instruct,forget05,PDU,123,0.32,1.572,1.613,0.54,1.961,200,617
Llama-3.2-1B-Instruct,forget05,PDU,456,0.425,1.562,1.622,0.57,1.963,200,617
Llama-3.2-1B-Instruct,forget05,PDU,789,0.46,1.545,1.649,0.675,1.964,200,617
Llama-3.2-1B-Instruct,forget05,PDU,1337,0.25,1.54,1.574,0.42,1.948,200,617
Llama-3.2-1B-Instruct,forget10,GradAscent,42,0.0,0.0,0.0,0.0,0.0,400,617
Llama-3.2-1B-Instruct,forget10,GradAscent,123,0.0,0.0,0.0,0.0,0.0,400,617
Llama-3.2-1B-Instruct,forget10,GradAscent,456,0.0,0.0,0.0,0.0,0.0,400,617
Llama-3.2-1B-Instruct,forget10,GradAscent,789,0.0,0.0,0.0,0.0,0.0,400,617
Llama-3.2-1B-Instruct,forget10,GradAscent,1337,0.0,0.0,0.0,0.0,0.0,400,617
Llama-3.2-1B-Instruct,forget10,GradDiff,42,0.475,0.93,1.347,1.103,1.506,400,617
Llama-3.2-1B-Instruct,forget10,GradDiff,123,0.453,0.916,1.304,1.028,1.483,400,617
Llama-3.2-1B-Instruct,forget10,GradDiff,456,0.463,0.898,1.399,1.185,1.538,400,617
Llama-3.2-1B-Instruct,forget10,GradDiff,789,0.46,0.885,1.385,1.167,1.527,400,617
Llama-3.2-1B-Instruct,forget10,GradDiff,1337,0.455,0.929,1.462,1.268,1.588,400,617
Llama-3.2-1B-Instruct,forget10,NPO,42,0.42,0.818,1.711,1.65,1.75,400,617
Llama-3.2-1B-Instruct,forget10,NPO,123,0.425,0.963,1.758,1.685,1.806,400,617
Llama-3.2-1B-Instruct,forget10,NPO,456,0.463,1.019,1.854,1.833,1.869,400,617
Llama-3.2-1B-Instruct,forget10,NPO,789,0.44,0.95,1.853,1.867,1.844,400,617
Llama-3.2-1B-Instruct,forget10,NPO,1337,0.465,0.964,1.794,1.725,1.838,400,617
Llama-3.2-1B-Instruct,forget10,SimNPO,123,1.565,1.707,1.989,1.998,1.984,400,617
Llama-3.2-1B-Instruct,forget10,SimNPO,42,1.56,1.746,1.987,1.992,1.984,400,617
Llama-3.2-1B-Instruct,forget10,SimNPO,456,1.613,1.692,1.985,1.988,1.984,400,617
Llama-3.2-1B-Instruct,forget10,SimNPO,789,1.59,1.716,1.989,1.988,1.99,400,617
Llama-3.2-1B-Instruct,forget10,SimNPO,1337,1.55,1.716,1.988,1.992,1.985,400,617
Llama-3.2-1B-Instruct,forget10,RMU,123,0.312,1.488,1.418,0.555,1.977,400,617
